port_code,ptent_yr,voyage_no,callsgn,vessel_name,vessel_type_name,vessel_nationality_code,vessel_nationality_name,mrn_no,bl_no,master_bl_no,io_se_code,io_se_name,facility_name,cargo_se_name,cargo_name_raw,dg_un_no,cargo_basis,package_type_name,unload_method_name,vol_ton_unit_name,vol_ton,weight_ton,vol_size,weight_size,bulk_vol_size,bulk_weight_size,container_count,pod_name,pol_name,ldud_port_name,last_dest_port_name,arrival_at_utc,customs_progress_status_name,source_system,source_table,collected_at_utc,quality_flag,is_synthetic
KRUSN,2026,077,HO5909,켐 하나,석유제품운반선,KR,대한민국,MRN23500,BL000011,MBL32997,O,수출,SK1부두,액체,케로신,1223,PORT-MIS 실선종 기반,벌크,펌프,TON,5047.4,5047.4,,,5552.1,5047.4,,SINGAPORE,울산,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-08-17T08:56:22.114908+00:00,OK,True
KRUSN,2026,121,211024,디엘 앰버,석유제품운반선,KR,대한민국,MRN70332,BL000012,MBL72618,I,수입,SK2부두,액체,케로신,1223,PORT-MIS 실선종 기반,벌크,펌프,TON,26643.1,26643.1,,,29307.4,26643.1,,울산,DALIAN,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-08-17T08:56:22.114908+00:00,OK,True
KRUSN,2026,124,3EBG4,VALIANT,케미칼운반선,KR,대한민국,MRN39179,BL000013,MBL10063,I,수입,SK3부두,액체,스티렌 모노머(안정화),2055,PORT-MIS 실선종 기반,벌크,펌프,TON,15385.8,15385.8,,,16924.4,15385.8,,울산,여수,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-08-17T08:56:22.114908+00:00,OK,True
KRUSN,2026,004,3EBG4,VALIANT,케미칼운반선,KR,대한민국,MRN22125,BL000014,MBL38729,I,수입,SK4부두,액체,테트라하이드로푸란,2056,PORT-MIS 실선종 기반,벌크,펌프,TON,45123.6,45123.6,,,49636.0,45123.6,,울산,휴스턴,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-08-17T08:56:22.114908+00:00,OK,True
KRUSN,2026,013,3EBG4,VALIANT,케미칼운반선,KR,대한민국,MRN62700,BL000015,MBL24699,O,수출,SK5부두,액체,테트라하이드로푸란,2056,PORT-MIS 실선종 기반,벌크,펌프,TON,43420.4,43420.4,,,47762.4,43420.4,,휴스턴,울산,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-08-17T08:56:22.115908+00:00,OK,True
KRUSN,2026,086,D5HE5,NAVIGATOR CETO,LPG운반선,KR,대한민국,MRN22365,BL000016,MBL87527,I,수입,SK6부두,액체,프로페인,1978,PORT-MIS 실선종 기반,벌크,펌프,TON,35306.5,35306.5,,,38837.2,35306.5,,울산,SINGAPORE,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-08-17T08:56:22.115908+00:00,OK,True
KRUSN,2026,119,D5HE5,NAVIGATOR CETO,LPG운반선,KR,대한민국,MRN25357,BL000017,MBL36812,O,수출,SK7부두,액체,부탄,1011,PORT-MIS 실선종 기반,벌크,펌프,TON,39982.6,39982.6,,,43980.9,39982.6,,휴스턴,울산,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-08-17T08:56:22.115908+00:00,OK,True
KRUSN,2026,073,D7YD,거영드림3,석유제품운반선,KR,대한민국,MRN27558,BL000018,MBL68831,I,수입,SK8부두,액체,케로신,1223,PORT-MIS 실선종 기반,벌크,펌프,TON,8432.5,8432.5,,,9275.8,8432.5,,울산,여수,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-08-17T08:56:22.115908+00:00,OK,True
KRUSN,2026,068,D7YD,거영드림3,석유제품운반선,KR,대한민국,MRN27796,BL000019,MBL79551,I,수입,가스부두,액체,디젤 연료/경유,1202,PORT-MIS 실선종 기반,벌크,펌프,TON,10730.5,10730.5,,,11803.6,10730.5,,울산,여수,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-08-17T08:56:22.115908+00:00,OK,True
KRUSN,2026,140,D8QR,성호갤럭시호,케미칼운반선,KR,대한민국,MRN74628,BL000020,MBL45822,O,수출,효성부두,액체,크실렌,1307,PORT-MIS 실선종 기반,벌크,펌프,TON,17857.8,17857.8,,,19643.6,17857.8,,ONSAN,울산,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-08-17T08:56:22.115908+00:00,OK,True
KRUSN,2026,160,V7A5905,PETITE SOEUR,케미칼운반선,KR,대한민국,MRN73306,BL000021,MBL62539,I,수입,대한유화부두,액체,아크릴로니트릴(안정화),1093,PORT-MIS 실선종 기반,벌크,펌프,TON,41110.1,41110.1,,,45221.1,41110.1,,울산,여수,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-08-17T08:56:22.115908+00:00,OK,True
KRUSN,2026,186,V7B3177,GRACE SULPHUR,케미칼운반선,KR,대한민국,MRN20041,BL000022,MBL48503,I,수입,용잠1부두,액체,아크릴로니트릴(안정화),1093,PORT-MIS 실선종 기반,벌크,펌프,TON,31157.8,31157.8,,,34273.6,31157.8,,울산,ONSAN,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-08-17T08:56:22.115908+00:00,OK,True
KRUSN,2026,067,D7ZP,케이티에스그린,석유제품운반선,KR,대한민국,MRN13289,BL000023,MBL32628,I,수입,용잠2부두,액체,가솔린,1203,PORT-MIS 실선종 기반,벌크,펌프,TON,37871.8,37871.8,,,41659.0,37871.8,,울산,DALIAN,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-08-17T08:56:22.115908+00:00,OK,True
KRUSN,2026,063,D7ZP,케이티에스그린,석유제품운반선,KR,대한민국,MRN80018,BL000024,MBL20055,O,수출,현대오일터미널 신항1부두,액체,디젤 연료/경유,1202,PORT-MIS 실선종 기반,벌크,펌프,TON,1002.6,1002.6,,,1102.9,1002.6,,여수,울산,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-08-17T08:56:22.115908+00:00,OK,True
KRUSN,2026,120,DSQA4,뉴 챌린지호,케미칼운반선,KR,대한민국,MRN80420,BL000025,MBL67997,I,수입,현대오일터미널 신항2부두,액체,스티렌 모노머(안정화),2055,PORT-MIS 실선종 기반,벌크,펌프,TON,11349.6,11349.6,,,12484.6,11349.6,,울산,SINGAPORE,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-08-17T08:56:22.115908+00:00,OK,True
KRUSN,2026,141,DSQA4,뉴 챌린지호,케미칼운반선,KR,대한민국,MRN89441,BL000026,MBL84308,I,수입,SK5부두,액체,스티렌 모노머(안정화),2055,PORT-MIS 실선종 기반,벌크,펌프,TON,18056.6,18056.6,,,19862.3,18056.6,,울산,여수,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-08-17T08:56:22.115908+00:00,OK,True
KRUSN,2026,052,UBFM8,PEGAS,석유제품운반선,KR,대한민국,MRN85452,BL000027,MBL14828,O,수출,SK2부두,액체,가솔린,1203,PORT-MIS 실선종 기반,벌크,펌프,TON,23705.8,23705.8,,,26076.4,23705.8,,SINGAPORE,울산,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-08-17T08:56:22.115908+00:00,OK,True
KRUSN,2026,135,UBFM8,PEGAS,석유제품운반선,KR,대한민국,MRN91042,BL000028,MBL32162,O,수출,S-Oil 2부두,액체,석유증류물(기타),1268,PORT-MIS 실선종 기반,벌크,펌프,TON,14572.2,14572.2,,,16029.4,14572.2,,여수,울산,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-08-17T08:56:22.115908+00:00,OK,True
KRUSN,2026,046,3ECG6,SUN VENUS,석유제품운반선,KR,대한민국,MRN62447,BL000029,MBL74769,O,수출,S-Oil 4부두,액체,석유증류물(기타),1268,PORT-MIS 실선종 기반,벌크,펌프,TON,25171.3,25171.3,,,27688.4,25171.3,,SINGAPORE,울산,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-08-17T08:56:22.115908+00:00,OK,True
KRUSN,2026,188,3ECG6,SUN VENUS,석유제품운반선,KR,대한민국,MRN17323,BL000030,MBL58861,I,수입,SK4부두,액체,케로신,1223,PORT-MIS 실선종 기반,벌크,펌프,TON,41368.0,41368.0,,,45504.8,41368.0,,울산,SINGAPORE,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-08-17T08:56:22.115908+00:00,OK,True
KRUSN,2026,169,D7ES,INCHEON CHEMI,케미칼운반선,KR,대한민국,MRN15416,BL000031,MBL11289,I,수입,가스부두,액체,아크릴로니트릴(안정화),1093,PORT-MIS 실선종 기반,벌크,펌프,TON,25232.2,25232.2,,,27755.4,25232.2,,울산,ONSAN,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-08-17T08:56:22.115908+00:00,OK,True
KRUSN,2026,145,D7ES,INCHEON CHEMI,케미칼운반선,KR,대한민국,MRN89334,BL000032,MBL76426,I,수입,SK5부두,액체,벤젠,1114,PORT-MIS 실선종 기반,벌크,펌프,TON,32029.4,32029.4,,,35232.3,32029.4,,울산,ONSAN,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-08-17T08:56:22.115908+00:00,OK,True
KRUSN,2026,166,912KG,케이티에스 골드,케미칼운반선,KR,대한민국,MRN89063,BL000033,MBL41592,O,수출,정일1부두,액체,크실렌,1307,PORT-MIS 실선종 기반,벌크,펌프,TON,30425.6,30425.6,,,33468.2,30425.6,,SINGAPORE,울산,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-08-17T08:56:22.115908+00:00,OK,True
KRUSN,2026,078,912KG,케이티에스 골드,케미칼운반선,KR,대한민국,MRN70784,BL000034,MBL10639,O,수출,정일2부두,액체,스티렌 모노머(안정화),2055,PORT-MIS 실선종 기반,벌크,펌프,TON,13403.6,13403.6,,,14744.0,13403.6,,휴스턴,울산,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-08-17T08:56:22.115908+00:00,OK,True
KRUSN,2026,112,912KG,케이티에스 골드,케미칼운반선,KR,대한민국,MRN15244,BL000035,MBL42504,I,수입,OTK1부두,액체,톨루엔,1294,PORT-MIS 실선종 기반,벌크,펌프,TON,39685.0,39685.0,,,43653.5,39685.0,,울산,ONSAN,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-08-17T08:56:22.115908+00:00,OK,True
KRUSN,2026,199,151058,미라클 알파,케미칼운반선,KR,대한민국,MRN45907,BL000036,MBL48687,I,수입,OTK2부두,액체,스티렌 모노머(안정화),2055,PORT-MIS 실선종 기반,벌크,펌프,TON,1620.2,1620.2,,,1782.2,1620.2,,울산,휴스턴,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-08-17T08:56:22.115908+00:00,OK,True
KRUSN,2026,069,A8UL7,GAS FAIRWAY,LPG운반선,KR,대한민국,MRN90848,BL000037,MBL58165,O,수출,UTK부두,액체,프로페인,1978,PORT-MIS 실선종 기반,벌크,펌프,TON,2583.4,2583.4,,,2841.7,2583.4,,여수,울산,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-08-17T08:56:22.115908+00:00,OK,True
KRUSN,2026,169,V7KT9,BOCCADASSE,석유제품운반선,KR,대한민국,MRN95688,BL000038,MBL19691,O,수출,S-Oil 1부두,액체,석유증류물(기타),1268,PORT-MIS 실선종 기반,벌크,펌프,TON,3613.2,3613.2,,,3974.5,3613.2,,DALIAN,울산,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-08-17T08:56:22.115908+00:00,OK,True
KRUSN,2026,191,021568,101효동케미호,석유제품운반선,KR,대한민국,MRN11835,BL000039,MBL64450,I,수입,S-Oil 3부두,액체,석유증류물(기타),1268,PORT-MIS 실선종 기반,벌크,펌프,TON,31595.3,31595.3,,,34754.8,31595.3,,울산,여수,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-08-17T08:56:22.115908+00:00,OK,True
KRUSN,2026,156,021568,101효동케미호,석유제품운반선,KR,대한민국,MRN21138,BL000040,MBL24470,I,수입,SK1부두,액체,가솔린,1203,PORT-MIS 실선종 기반,벌크,펌프,TON,38940.0,38940.0,,,42834.0,38940.0,,울산,휴스턴,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-08-17T08:56:22.115908+00:00,OK,True
KRUSN,2026,013,021568,101효동케미호,석유제품운반선,KR,대한민국,MRN50749,BL000041,MBL13018,I,수입,SK2부두,액체,케로신,1223,PORT-MIS 실선종 기반,벌크,펌프,TON,42312.8,42312.8,,,46544.1,42312.8,,울산,ONSAN,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-08-17T08:56:22.115908+00:00,OK,True
KRUSN,2026,087,160063,스카이케미,석유제품운반선,KR,대한민국,MRN65665,BL000042,MBL79223,O,수출,대한유화부두,액체,케로신,1223,PORT-MIS 실선종 기반,벌크,펌프,TON,5490.2,5490.2,,,6039.2,5490.2,,DALIAN,울산,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-08-17T08:56:22.115908+00:00,OK,True
KRUSN,2026,154,131062,그린오션호,석유제품운반선,KR,대한민국,MRN54139,BL000043,MBL70472,I,수입,SK5부두,액체,가솔린,1203,PORT-MIS 실선종 기반,벌크,펌프,TON,16893.1,16893.1,,,18582.4,16893.1,,울산,여수,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-08-17T08:56:22.116907+00:00,OK,True
KRUSN,2026,096,131062,그린오션호,석유제품운반선,KR,대한민국,MRN40239,BL000044,MBL61502,O,수출,S-Oil 2부두,액체,석유증류물(기타),1268,PORT-MIS 실선종 기반,벌크,펌프,TON,32840.5,32840.5,,,36124.6,32840.5,,여수,울산,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-08-17T08:56:22.116991+00:00,OK,True
KRUSN,2026,041,200035,우원호,석유제품운반선,KR,대한민국,MRN60574,BL000045,MBL75698,O,수출,S-Oil 4부두,액체,가솔린,1203,PORT-MIS 실선종 기반,벌크,펌프,TON,43089.3,43089.3,,,47398.2,43089.3,,SINGAPORE,울산,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-08-17T08:56:22.116991+00:00,OK,True
KRUSN,2026,077,200035,우원호,석유제품운반선,KR,대한민국,MRN34282,BL000046,MBL60108,O,수출,SK4부두,액체,케로신,1223,PORT-MIS 실선종 기반,벌크,펌프,TON,33649.1,33649.1,,,37014.0,33649.1,,DALIAN,울산,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-08-17T08:56:22.116991+00:00,OK,True
KRUSN,2026,110,200035,우원호,석유제품운반선,KR,대한민국,MRN30873,BL000047,MBL65959,O,수출,가스부두,액체,석유증류물(기타),1268,PORT-MIS 실선종 기반,벌크,펌프,TON,38053.1,38053.1,,,41858.4,38053.1,,DALIAN,울산,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-08-17T08:56:22.116991+00:00,OK,True
KRUSN,2026,019,210016,부광5호,석유제품운반선,KR,대한민국,MRN66428,BL000048,MBL81994,I,수입,SK2부두,액체,가솔린,1203,PORT-MIS 실선종 기반,벌크,펌프,TON,4429.0,4429.0,,,4871.9,4429.0,,울산,SINGAPORE,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-08-17T08:56:22.116991+00:00,OK,True
KRUSN,2026,175,161064,우석호,석유제품운반선,KR,대한민국,MRN88177,BL000049,MBL94929,O,수출,SK5부두,액체,디젤 연료/경유,1202,PORT-MIS 실선종 기반,벌크,펌프,TON,17913.0,17913.0,,,19704.3,17913.0,,SINGAPORE,울산,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-08-17T08:56:22.116991+00:00,OK,True
KRUSN,2026,096,161064,우석호,석유제품운반선,KR,대한민국,MRN58910,BL000050,MBL15905,O,수출,정일1부두,액체,디젤 연료/경유,1202,PORT-MIS 실선종 기반,벌크,펌프,TON,17214.1,17214.1,,,18935.5,17214.1,,ONSAN,울산,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-08-17T08:56:22.116991+00:00,OK,True
KRUSN,2026,135,DSEZ7,마린가스,LPG운반선,KR,대한민국,MRN47634,BL000051,MBL55403,I,수입,정일2부두,액체,프로페인,1978,PORT-MIS 실선종 기반,벌크,펌프,TON,3314.4,3314.4,,,3645.8,3314.4,,울산,ONSAN,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-08-17T08:56:22.116991+00:00,OK,True
KRUSN,2026,161,DSEZ7,마린가스,LPG운반선,KR,대한민국,MRN87165,BL000052,MBL42841,O,수출,OTK1부두,액체,부탄,1011,PORT-MIS 실선종 기반,벌크,펌프,TON,20985.5,20985.5,,,23084.1,20985.5,,여수,울산,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-08-17T08:56:22.116991+00:00,OK,True
KRUSN,2026,038,D7VA,거영블루5,석유제품운반선,KR,대한민국,MRN11278,BL000053,MBL17497,I,수입,OTK2부두,액체,석유증류물(기타),1268,PORT-MIS 실선종 기반,벌크,펌프,TON,3981.2,3981.2,,,4379.3,3981.2,,울산,여수,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-08-17T08:56:22.116991+00:00,OK,True
KRUSN,2026,173,D7VA,거영블루5,석유제품운반선,KR,대한민국,MRN13322,BL000054,MBL96358,O,수출,UTK부두,액체,가솔린,1203,PORT-MIS 실선종 기반,벌크,펌프,TON,44496.5,44496.5,,,48946.2,44496.5,,ONSAN,울산,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-08-17T08:56:22.116991+00:00,OK,True
KRUSN,2026,170,D7VA,거영블루5,석유제품운반선,KR,대한민국,MRN68795,BL000055,MBL69354,I,수입,UTT부두,액체,디젤 연료/경유,1202,PORT-MIS 실선종 기반,벌크,펌프,TON,33725.2,33725.2,,,37097.7,33725.2,,울산,SINGAPORE,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-08-17T08:56:22.116991+00:00,OK,True
KRUSN,2026,073,141076,티앤 루나,석유제품운반선,KR,대한민국,MRN49048,BL000056,MBL73993,O,수출,S-Oil 1부두,액체,가솔린,1203,PORT-MIS 실선종 기반,벌크,펌프,TON,32244.1,32244.1,,,35468.5,32244.1,,DALIAN,울산,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-08-17T08:56:22.116991+00:00,OK,True
KRUSN,2026,180,141076,티앤 루나,석유제품운반선,KR,대한민국,MRN53718,BL000057,MBL61293,I,수입,S-Oil 2부두,액체,케로신,1223,PORT-MIS 실선종 기반,벌크,펌프,TON,23742.2,23742.2,,,26116.4,23742.2,,울산,여수,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-08-17T08:56:22.116991+00:00,OK,True
KRUSN,2026,017,240030,스프링 알파,케미칼운반선,KR,대한민국,MRN44415,BL000058,MBL16247,I,수입,S-Oil 3부두,액체,아크릴로니트릴(안정화),1093,PORT-MIS 실선종 기반,벌크,펌프,TON,2517.1,2517.1,,,2768.8,2517.1,,울산,SINGAPORE,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-08-17T08:56:22.117515+00:00,OK,True
KRUSN,2026,002,240030,스프링 알파,케미칼운반선,KR,대한민국,MRN22935,BL000059,MBL68079,O,수출,S-Oil 4부두,액체,메탄올,1230,PORT-MIS 실선종 기반,벌크,펌프,TON,43855.7,43855.7,,,48241.3,43855.7,,여수,울산,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-08-17T08:56:22.117515+00:00,OK,True
KRUSN,2026,193,D7UZ,308 HYODONG CHEMI,석유제품운반선,KR,대한민국,MRN54001,BL000060,MBL52236,O,수출,SK1부두,액체,디젤 연료/경유,1202,PORT-MIS 실선종 기반,벌크,펌프,TON,4681.0,4681.0,,,5149.1,4681.0,,SINGAPORE,울산,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-08-17T08:56:22.117515+00:00,OK,True
KRUSN,2026,010,D7UZ,308 HYODONG CHEMI,석유제품운반선,KR,대한민국,MRN23119,BL000061,MBL42451,I,수입,SK2부두,액체,가솔린,1203,PORT-MIS 실선종 기반,벌크,펌프,TON,11113.4,11113.4,,,12224.7,11113.4,,울산,SINGAPORE,,,2026-07-27 00:00:00+00:00,반입,UPA_SYNTHETIC,IntgCagInfo(SYNTHETIC),2026-08-17T08:56:22.117515+00:00,OK,True
